Alabama,, Average Temperature,
200306,Florida,80.1,-1.3
200307,Florida,81.4,-1.2
200308,Florida,81.1,-1.6
200309,Florida,78.9,-1.7
200310,Florida,73.5,-0.6
200311,Florida,68.6,2.7
200312,Florida,56.1,-6.3
200401,Florida,56.8,-1.3
200402,Florida,59.3,-2.8
200403,Florida,65.7,0.5
200404,Florida,67.4,-4.2
200405,Florida,76.3,-0.5
200406,Florida,81.3,-0.1
200407,Florida,81.8,-0.8
200408,Florida,81.4,-1.3
200409,Florida,79.9,-0.7
200410,Florida,74.5,0.4
200411,Florida,67.4,1.5
200412,Florida,58,-4.4
200501,Florida,60,1.9
200502,Florida,60.8,-1.3
200503,Florida,63,-2.2
200504,Florida,66.7,-4.9
200505,Florida,74.4,-2.4
200506,Florida,79.9,-1.5
200507,Florida,83.3,0.7
200508,Florida,83.2,0.5
200509,Florida,80.8,0.2
200510,Florida,73.6,-0.5
200511,Florida,67.3,1.4
200512,Florida,57,-5.4
200601,Florida,60.8,2.7
200602,Florida,58.3,-3.8
200603,Florida,64.8,-0.4
200604,Florida,72.4,0.8
200605,Florida,75.7,-1.1
200606,Florida,80.5,-0.9
200607,Florida,82,-0.6
200608,Florida,82.8,0.1
200609,Florida,79.3,-1.3
200610,Florida,72.1,-2
200611,Florida,63.4,-2.5
200612,Florida,64.2,1.8
200701,Florida,61.3,3.2
200702,Florida,58.1,-4
200703,Florida,66.3,1.1
200704,Florida,68.4,-3.2
200705,Florida,74.9,-1.9
200706,Florida,80,-1.4
200707,Florida,82.4,-0.2
200708,Florida,83.7,1
200709,Florida,80.5,-0.1
200710,Florida,76.2,2.1
200711,Florida,64.8,-1.1
200712,Florida,64.4,2
200801,Florida,58.3,0.2
200802,Florida,63,0.9
200803,Florida,64.7,-0.5
200804,Florida,69.5,-2.1
200805,Florida,76.4,-0.4
200806,Florida,80.9,-0.5
200807,Florida,81.2,-1.4
200808,Florida,81.3,-1.4
200809,Florida,79.7,-0.9
200810,Florida,71.4,-2.7
200811,Florida,61.5,-4.4
200812,Florida,62,-0.4
200901,Florida,57.2,-0.9
200902,Florida,57.3,-4.8
200903,Florida,65.3,0.1
200904,Florida,69.6,-2
200905,Florida,76.6,-0.2
200906,Florida,81.9,0.5
200907,Florida,81.7,-0.9
200908,Florida,82.1,-0.6
200909,Florida,80.5,-0.1
200910,Florida,75.3,1.2
200911,Florida,66,0.1
200912,Florida,60.4,-2
201001,Florida,52.5,-5.6
201002,Florida,52.6,-9.5
201003,Florida,59,-6.2
201004,Florida,69.7,-1.9
201005,Florida,78.5,1.7
201006,Florida,83.1,1.7
201007,Florida,83.4,0.8
201008,Florida,83.5,0.8
201009,Florida,80.9,0.3
201010,Florida,72.1,-2
201011,Florida,64.9,-1
201012,Florida,50.1,-12.3
201101,Florida,54.9,-3.2
201102,Florida,61.8,-0.3
201103,Florida,66.5,1.3
201104,Florida,73,1.4
201105,Florida,76.2,-0.6
201106,Florida,82.1,0.7
201107,Florida,82.6,0
201108,Florida,83.7,1
201109,Florida,79.7,-0.9
201110,Florida,70.5,-3.6
201111,Florida,66.4,0.5
201112,Florida,62.8,0.4
201201,Florida,59.3,1.2
201202,Florida,64.3,2.2
201203,Florida,70.3,5.1
201204,Florida,71.2,-0.4
201205,Florida,77.6,0.8
201206,Florida,79.3,-2.1
201207,Florida,82.4,-0.2
201208,Florida,81.5,-1.2
201209,Florida,79.5,-1.1
201210,Florida,73.2,-0.9
201211,Florida,62.1,-3.8
201212,Florida,62,-0.4
201301,Florida,64,5.9
201302,Florida,61.8,-0.3
201303,Florida,59.1,-6.1
201304,Florida,71.4,-0.2
201305,Florida,74,-2.8
201306,Florida,81.1,-0.3
201307,Florida,80.8,-1.8
201308,Florida,82.2,-0.5
201309,Florida,80,-0.6
201310,Florida,74,-0.1
201311,Florida,67.1,1.2
201312,Florida,64.7,2.3
201401,Florida,54.5,-3.6
201402,Florida,62.8,0.7
201403,Florida,63.5,-1.7
201404,Florida,70.5,-1.1
201405,Florida,76,-0.8
201406,Florida,80.3,-1.1
201407,Florida,81.8,-0.8
201408,Florida,82.9,0.2
201409,Florida,79.7,-0.9
201410,Florida,72.7,-1.4
201411,Florida,61.1,-4.8
201412,Florida,61.9,-0.5
201501,Florida,58.6,0.5
201502,Florida,56.5,-5.6
201503,Florida,69.5,4.3
201504,Florida,75.1,3.5
201505,Florida,77.5,0.7
201506,Florida,81.7,0.3
201507,Florida,82.8,0.2
201508,Florida,82.4,-0.3
201509,Florida,80,-0.6
201510,Florida,74.4,0.3
201511,Florida,72.2,6.3
201512,Florida,69.6,7.2
201601,Florida,56.9,-1.2
201602,Florida,59.4,-2.7
201603,Florida,68.8,3.6
201604,Florida,71.2,-0.4
201605,Florida,76.2,-0.6
201606,Florida,81.9,0.5
201607,Florida,84,1.4
201608,Florida,83,0.3
201609,Florida,81.1,0.5
201610,Florida,74.6,0.5
201611,Florida,66.6,0.7
201612,Florida,65.9,3.5
201701,Florida,62.8,4.7
201702,Florida,65.5,3.4
201703,Florida,66.2,1
201704,Florida,72.3,0.7
201705,Florida,77.1,0.3
201706,Florida,80.2,-1.2
201707,Florida,82.8,0.2
201708,Florida,82.8,0.1
201709,Florida,80.4,-0.2
201710,Florida,74.9,0.8
201711,Florida,67.4,1.5
201712,Florida,61.7,-0.7
201801,Florida,55,-3.1
201802,Florida,69.2,7.1
201803,Florida,63,-2.2
201804,Florida,70.2,-1.4
201805,Florida,76.4,-0.4
201806,Florida,81.5,0.1
201807,Florida,82.4,-0.2
201808,Florida,82.2,-0.5
201809,Florida,82.4,1.8
201810,Florida,76.5,2.4
201811,Florida,66.7,0.8
201812,Florida,61.8,-0.6
201901,Florida,58.4,0.3
201902,Florida,67.5,5.4
201903,Florida,65.7,0.5
201904,Florida,71.2,-0.4
201905,Florida,78.8,2
201906,Florida,82.3,0.9
201907,Florida,82.8,0.2
201908,Florida,82.9,0.2
201909,Florida,81.9,1.3
201910,Florida,77.9,3.8
201911,Florida,64.9,-1
201912,Florida,63.9,1.5
202001,Florida,61.7,3.6
200001,Georgia,46.2,-0.2
200002,Georgia,51.6,0.6
200003,Georgia,59.1,2.5
200004,Georgia,60.6,-3.9
200005,Georgia,73.9,1.7
200006,Georgia,78,-0.7
200007,Georgia,80.8,-0.2
200008,Georgia,79.5,-0.5
200009,Georgia,72.6,-3.2
200010,Georgia,63.7,-2.2
200011,Georgia,53.6,-1.1
200012,Georgia,40.6,-10.3
200101,Georgia,43.3,-3.1
200102,Georgia,53.6,2.6
200103,Georgia,53.8,-2.8
200104,Georgia,64.2,-0.3
200105,Georgia,70.8,-1.4
200106,Georgia,76.4,-2.3
200107,Georgia,79.3,-1.7
200108,Georgia,79.3,-0.7
200109,Georgia,72.1,-3.7
200110,Georgia,61.7,-4.2
200111,Georgia,59.9,5.2
200112,Georgia,52.9,2
200201,Georgia,48.1,1.7
200202,Georgia,48.4,-2.6
200203,Georgia,56.9,0.3
200204,Georgia,67.9,3.4
200205,Georgia,70.2,-2
200206,Georgia,77.4,-1.3
200207,Georgia,80.8,-0.2
200208,Georgia,79.6,-0.4
200209,Georgia,76.8,1
200210,Georgia,68.2,2.3
200211,Georgia,52.3,-2.4
200212,Georgia,45.7,-5.2
200301,Georgia,42.3,-4.1
200302,Georgia,48.9,-2.1
200303,Georgia,59,2.4
200304,Georgia,62.7,-1.8
200305,Georgia,71.7,-0.5
200306,Georgia,76.1,-2.6
200307,Georgia,78.7,-2.3
200308,Georgia,79.2,-0.8
200309,Georgia,73.1,-2.7
200310,Georgia,64.4,-1.5
200311,Georgia,59.4,4.7
200312,Georgia,44.3,-6.6
200401,Georgia,45,-1.4
200402,Georgia,46.1,-4.9
200403,Georgia,59,2.4
200404,Georgia,62.2,-2.3
200405,Georgia,73.6,1.4
200406,Georgia,78.1,-0.6
200407,Georgia,80.1,-0.9
200408,Georgia,77.6,-2.4
200409,Georgia,73.6,-2.2
200410,Georgia,67.7,1.8
200411,Georgia,57.9,3.2
200412,Georgia,46.8,-4.1
200501,Georgia,49.5,3.1
200502,Georgia,50.9,-0.1
200503,Georgia,53.7,-2.9
200504,Georgia,60.7,-3.8
200505,Georgia,68.3,-3.9
200506,Georgia,76.6,-2.1
200507,Georgia,80.9,-0.1
200508,Georgia,80.3,0.3
200509,Georgia,77,1.2
200510,Georgia,65.8,-0.1
200511,Georgia,57,2.3
200512,Georgia,44.8,-6.1
200601,Georgia,51.8,5.4
200602,Georgia,47.4,-3.6
200603,Georgia,56.1,-0.5
200604,Georgia,67,2.5
200605,Georgia,70.4,-1.8
200606,Georgia,77.4,-1.3
200607,Georgia,81,0
200608,Georgia,81.6,1.6
200609,Georgia,73.3,-2.5
200610,Georgia,62.5,-3.4
200611,Georgia,54.2,-0.5
200612,Georgia,51.9,1
200701,Georgia,49.2,2.8
200702,Georgia,46.7,-4.3
200703,Georgia,60,3.4
200704,Georgia,60.9,-3.6
200705,Georgia,70.5,-1.7
200706,Georgia,77.7,-1
200707,Georgia,78.9,-2.1
200708,Georgia,83.2,3.2
200709,Georgia,75.8,0
200710,Georgia,67.8,1.9
200711,Georgia,54,-0.7
200712,Georgia,52.9,2
200801,Georgia,45,-1.4
200802,Georgia,50.8,-0.2
200803,Georgia,55.4,-1.2
200804,Georgia,62.6,-1.9
200805,Georgia,70.3,-1.9
200806,Georgia,79.4,0.7
200807,Georgia,79.7,-1.3
200808,Georgia,78.9,-1.1
200809,Georgia,74.6,-1.2
200810,Georgia,62.4,-3.5
200811,Georgia,51.4,-3.3
200812,Georgia,51.7,0.8
200901,Georgia,46.3,-0.1
200902,Georgia,47.7,-3.3
200903,Georgia,56.4,-0.2
200904,Georgia,61.8,-2.7
200905,Georgia,71.3,-0.9
200906,Georgia,79.8,1.1
200907,Georgia,78.5,-2.5
200908,Georgia,78.8,-1.2
200909,Georgia,74.5,-1.3
200910,Georgia,64.1,-1.8
200911,Georgia,55.6,0.9
200912,Georgia,46.2,-4.7
201001,Georgia,41.8,-4.6
201002,Georgia,42.1,-8.9
201003,Georgia,52.1,-4.5
201004,Georgia,64.5,0
201005,Georgia,73.6,1.4
201006,Georgia,81,2.3
201007,Georgia,82.2,1.2
201008,Georgia,82.2,2.2
201009,Georgia,76.5,0.7
201010,Georgia,64.8,-1.1
201011,Georgia,54.8,0.1
201012,Georgia,39.9,-11
201101,Georgia,41.8,-4.6
201102,Georgia,51.1,0.1
201103,Georgia,57.8,1.2
201104,Georgia,65.8,1.3
201105,Georgia,71.3,-0.9
201106,Georgia,81.1,2.4
201107,Georgia,81.9,0.9
201108,Georgia,82.2,2.2
201109,Georgia,73.6,-2.2
201110,Georgia,61.6,-4.3
201111,Georgia,56.2,1.5
201112,Georgia,51.3,0.4
201201,Georgia,50,3.6
201202,Georgia,52.8,1.8
201203,Georgia,64.8,8.2
201204,Georgia,65.6,1.1
201205,Georgia,73.5,1.3
201206,Georgia,75.6,-3.1
201207,Georgia,82.2,1.2
201208,Georgia,78.1,-1.9
201209,Georgia,74,-1.8
201210,Georgia,64.7,-1.2
201211,Georgia,52.6,-2.1
201212,Georgia,52.1,1.2
201301,Georgia,52.5,6.1
201302,Georgia,48.8,-2.2
201303,Georgia,50.2,-6.4
201304,Georgia,62.9,-1.6
201305,Georgia,68.4,-3.8
201306,Georgia,77.8,-0.9
201307,Georgia,78.2,-2.8
201308,Georgia,78,-2
201309,Georgia,74.5,-1.3
201310,Georgia,65,-0.9
201311,Georgia,53.2,-1.5
201312,Georgia,51.2,0.3
201401,Georgia,40,-6.4
201402,Georgia,49.8,-1.2
201403,Georgia,52.9,-3.7
201404,Georgia,63.1,-1.4
201405,Georgia,71.2,-1
201406,Georgia,78.3,-0.4
201407,Georgia,78.9,-2.1
201408,Georgia,79.2,-0.8
201409,Georgia,75.5,-0.3
201410,Georgia,65.6,-0.3
201411,Georgia,49.8,-4.9
201412,Georgia,51.3,0.4
201501,Georgia,44.9,-1.5
201502,Georgia,43.2,-7.8
201503,Georgia,58.8,2.2
201504,Georgia,66.8,2.3
201505,Georgia,72.4,0.2
201506,Georgia,79.3,0.6
201507,Georgia,81.5,0.5
201508,Georgia,79.5,-0.5
201509,Georgia,73.8,-2
201510,Georgia,64.8,-1.1
201511,Georgia,59.8,5.1
201512,Georgia,58.9,8
201601,Georgia,44.4,-2
201602,Georgia,50,-1
201603,Georgia,60.9,4.3
201604,Georgia,63.9,-0.6
201605,Georgia,70.8,-1.4
201606,Georgia,79.7,1
201607,Georgia,82.8,1.8
201608,Georgia,81.6,1.6
201609,Georgia,77.5,1.7
201610,Georgia,67.8,1.9
201611,Georgia,58,3.3
201612,Georgia,52.1,1.2
201701,Georgia,53.2,6.8
201702,Georgia,56.5,5.5
201703,Georgia,58,1.4
201704,Georgia,67.5,3
201705,Georgia,71.4,-0.8
201706,Georgia,76.6,-2.1
201707,Georgia,80.6,-0.4
201708,Georgia,79.4,-0.6
201709,Georgia,74,-1.8
201710,Georgia,67,1.1
201711,Georgia,56.4,1.7
201712,Georgia,49.3,-1.6
201801,Georgia,42.5,-3.9
201802,Georgia,59.2,8.2
201803,Georgia,54.5,-2.1
201804,Georgia,60.6,-3.9
201805,Georgia,73.7,1.5
201806,Georgia,79.3,0.6
201807,Georgia,80.2,-0.8
201808,Georgia,79.4,-0.6
201809,Georgia,79.8,4
201810,Georgia,68.4,2.5
201811,Georgia,53.2,-1.5
201812,Georgia,50.2,-0.7
201901,Georgia,48.2,1.8
201902,Georgia,56.1,5.1
201903,Georgia,56.3,-0.3
201904,Georgia,64.6,0.1
201905,Georgia,75.7,3.5
201906,Georgia,78.1,-0.6
201907,Georgia,81,0
201908,Georgia,80.7,0.7
201909,Georgia,79.1,3.3
201910,Georgia,69.7,3.8
201911,Georgia,52.8,-1.9
201912,Georgia,52.3,1.4
202001,Georgia,51.4,5
200001,Idaho,25.7,-0.1
200002,Idaho,32,3.7
200003,Idaho,34.5,-1.4
200004,Idaho,45.3,3.6
200005,Idaho,50.3,0.5
200006,Idaho,58.6,0.4
200007,Idaho,66.5,-0.5
200008,Idaho,66.3,0.7
200009,Idaho,54,-2.8
200010,Idaho,44.1,-0.5
200011,Idaho,25.7,-7.5
200012,Idaho,24.2,-0.5
200101,Idaho,23,-2.8
200102,Idaho,25.1,-3.2
200103,Idaho,36.6,0.7
200104,Idaho,40.1,-1.6
200105,Idaho,52.6,2.8
200106,Idaho,57.4,-0.8
200107,Idaho,65.6,-1.4
200108,Idaho,68.2,2.6
200109,Idaho,59.4,2.6
200110,Idaho,44.6,0
200111,Idaho,36.2,3
200112,Idaho,22.1,-2.6
200201,Idaho,23.2,-2.6
200202,Idaho,23.9,-4.4
200203,Idaho,30.1,-5.8
200204,Idaho,41.5,-0.2
200205,Idaho,48.7,-1.1
200206,Idaho,58.8,0.6
200207,Idaho,69,2
200208,Idaho,61.8,-3.8
200209,Idaho,55.9,-0.9
200210,Idaho,41,-3.6
200211,Idaho,32.8,-0.4
200212,Idaho,28.8,4.1
200301,Idaho,31.4,5.6
200302,Idaho,27.1,-1.2
200303,Idaho,36.3,0.4
200304,Idaho,40.8,-0.9
200305,Idaho,49.9,0.1
200306,Idaho,59.1,0.9
200307,Idaho,70.4,3.4
200308,Idaho,67.7,2.1
200309,Idaho,56.7,-0.1
200310,Idaho,48.7,4.1
200311,Idaho,28.2,-5
200312,Idaho,28.1,3.4
200401,Idaho,22.8,-3
200402,Idaho,26.3,-2
200403,Idaho,39.3,3.4
200404,Idaho,44.6,2.9
200405,Idaho,48.9,-0.9
200406,Idaho,58.4,0.2
200407,Idaho,66.3,-0.7
200408,Idaho,63.7,-1.9
200409,Idaho,53.7,-3.1
200410,Idaho,44.6,0
200411,Idaho,32.7,-0.5
200412,Idaho,28.5,3.8
200501,Idaho,26.5,0.7
200502,Idaho,28.5,0.2
200503,Idaho,35.9,0
200504,Idaho,41.7,0
200505,Idaho,49.9,0.1
200506,Idaho,54.3,-3.9
200507,Idaho,66.8,-0.2
200508,Idaho,64.8,-0.8
200509,Idaho,54.1,-2.7
200510,Idaho,45.5,0.9
200511,Idaho,32,-1.2
200512,Idaho,23,-1.7
200601,Idaho,27.9,2.1
200602,Idaho,24.4,-3.9
200603,Idaho,32.4,-3.5
200604,Idaho,42.8,1.1
200605,Idaho,51.8,2
200606,Idaho,60.6,2.4
200607,Idaho,70.1,3.1
200608,Idaho,63.7,-1.9
200609,Idaho,55.1,-1.7
200610,Idaho,43,-1.6
200611,Idaho,33.1,-0.1
200612,Idaho,25.3,0.6
200701,Idaho,20.7,-5.1
200702,Idaho,30.8,2.5
200703,Idaho,38.9,3
200704,Idaho,43,1.3
200705,Idaho,52,2.2
200706,Idaho,59.6,1.4
200707,Idaho,72,5
200708,Idaho,65.4,-0.2
200709,Idaho,54.9,-1.9
200710,Idaho,43.1,-1.5
200711,Idaho,33.5,0.3
200712,Idaho,23.4,-1.3
200801,Idaho,19.9,-5.9
200802,Idaho,27.6,-0.7
200803,Idaho,30.3,-5.6
200804,Idaho,36.3,-5.4
200805,Idaho,48.9,-0.9
200806,Idaho,56.3,-1.9
200807,Idaho,66.5,-0.5
200808,Idaho,64.8,-0.8
200809,Idaho,55.5,-1.3
200810,Idaho,44.5,-0.1
200811,Idaho,37.1,3.9
200812,Idaho,22.6,-2.1
200901,Idaho,25,-0.8
200902,Idaho,27.6,-0.7
200903,Idaho,31.4,-4.5
200904,Idaho,40.7,-1
200905,Idaho,50.8,1
200906,Idaho,56.3,-1.9
200907,Idaho,65.8,-1.2
200908,Idaho,63.8,-1.8
200909,Idaho,60.1,3.3
200910,Idaho,39.5,-5.1
200911,Idaho,33,-0.2
200912,Idaho,19.8,-4.9
201001,Idaho,28.2,2.4
201002,Idaho,28.9,0.6
201003,Idaho,35.2,-0.7
201004,Idaho,40,-1.7
201005,Idaho,44.1,-5.7
201006,Idaho,55.5,-2.7
201007,Idaho,64.2,-2.8
201008,Idaho,62.8,-2.8
201009,Idaho,56.4,-0.4
201010,Idaho,47.5,2.9
201011,Idaho,30.5,-2.7
201012,Idaho,26.6,1.9
201101,Idaho,24,-1.8
201102,Idaho,24.3,-4
201103,Idaho,33.4,-2.5
201104,Idaho,36.4,-5.3
201105,Idaho,45.8,-4
201106,Idaho,54,-4.2
201107,Idaho,64.3,-2.7
201108,Idaho,66.1,0.5
201109,Idaho,59.6,2.8
201110,Idaho,45.4,0.8
201111,Idaho,30.5,-2.7
201112,Idaho,24.8,0.1
201201,Idaho,26.8,1
201202,Idaho,28,-0.3
201203,Idaho,36.4,0.5
201204,Idaho,44.4,2.7
201205,Idaho,49,-0.8
201206,Idaho,56.9,-1.3
201207,Idaho,68.5,1.5
201208,Idaho,67.3,1.7
201209,Idaho,58.4,1.6
201210,Idaho,43.7,-0.9
201211,Idaho,36,2.8
201212,Idaho,25.8,1.1
201301,Idaho,20.2,-5.6
201302,Idaho,27.5,-0.8
201303,Idaho,35.1,-0.8
201304,Idaho,40.1,-1.6
201305,Idaho,51,1.2
201306,Idaho,59.3,1.1
201307,Idaho,69.6,2.6
201308,Idaho,67.6,2
201309,Idaho,57.1,0.3
201310,Idaho,42.1,-2.5
201311,Idaho,33.8,0.6
201312,Idaho,21.1,-3.6
201401,Idaho,27.7,1.9
201402,Idaho,28,-0.3
201403,Idaho,36.2,0.3
201404,Idaho,41.6,-0.1
201405,Idaho,51.6,1.8
201406,Idaho,56.7,-1.5
201407,Idaho,69.3,2.3
201408,Idaho,63.8,-1.8
201409,Idaho,57.6,0.8
201410,Idaho,48.5,3.9
201411,Idaho,31.1,-2.1
201412,Idaho,29.1,4.4
201501,Idaho,28.7,2.9
201502,Idaho,35.2,6.9
201503,Idaho,40.8,4.9
201504,Idaho,42.3,0.6
201505,Idaho,51.8,2
201506,Idaho,64.7,6.5
201507,Idaho,65.1,-1.9
201508,Idaho,65.8,0.2
201509,Idaho,57.2,0.4
201510,Idaho,50.7,6.1
201511,Idaho,29.9,-3.3
201512,Idaho,24.3,-0.4
201601,Idaho,25.8,0
201602,Idaho,31.9,3.6
201603,Idaho,37,1.1
201604,Idaho,47,5.3
201605,Idaho,50.6,0.8
201606,Idaho,61.2,3
201607,Idaho,64.8,-2.2
201608,Idaho,64.7,-0.9
201609,Idaho,54.6,-2.2
201610,Idaho,45.7,1.1
201611,Idaho,38.7,5.5
201612,Idaho,19.1,-5.6
201701,Idaho,18.5,-7.3
201702,Idaho,29.5,1.2
201703,Idaho,38.5,2.6
201704,Idaho,40.3,-1.4
201705,Idaho,50.6,0.8
201706,Idaho,59.1,0.9
201707,Idaho,70,3
201708,Idaho,66.9,1.3
201709,Idaho,55.7,-1.1
201710,Idaho,41.9,-2.7
201711,Idaho,34.9,1.7
201712,Idaho,25.2,0.5
201801,Idaho,30.4,4.6
201802,Idaho,26.2,-2.1
201803,Idaho,33.7,-2.2
201804,Idaho,42.4,0.7
201805,Idaho,54,4.2
201806,Idaho,57.7,-0.5
201807,Idaho,68.4,1.4
201808,Idaho,65,-0.6
201809,Idaho,56.2,-0.6
201810,Idaho,44,-0.6
201811,Idaho,32,-1.2
201812,Idaho,24.3,-0.4
201901,Idaho,26.3,0.5
201902,Idaho,23.2,-5.1
201903,Idaho,32.4,-3.5
201904,Idaho,42.9,1.2
201905,Idaho,49.8,0
201906,Idaho,57.2,-1
201907,Idaho,65.5,-1.5
201908,Idaho,66,0.4
201909,Idaho,55,-1.8
201910,Idaho,36.6,-8
201911,Idaho,34.3,1.1
201912,Idaho,26.6,1.9
202001,Idaho,27.3,1.5
200001,Illinois,27.3,0.9
200002,Illinois,37.4,7.8
200003,Illinois,46.2,4.7
200004,Illinois,51.5,-1.5
200005,Illinois,65.1,0.7
200006,Illinois,70.3,-2.7
200007,Illinois,73.2,-2.9
200008,Illinois,74.6,0.9
200009,Illinois,66.3,-1.8
200010,Illinois,58,2.5
200011,Illinois,38.9,-2.4
200012,Illinois,17.6,-15.1
200101,Illinois,25.7,-0.7
200102,Illinois,30.9,1.3
200103,Illinois,37.1,-4.4
200104,Illinois,57.6,4.6
200105,Illinois,64.8,0.4
200106,Illinois,69.8,-3.2
200107,Illinois,75.9,-0.2
200108,Illinois,74.6,0.9
200109,Illinois,64.4,-3.7
200110,Illinois,53.8,-1.7
200111,Illinois,49.9,8.6
200112,Illinois,35.8,3.1
200201,Illinois,33.6,7.2
200202,Illinois,34.6,5
200203,Illinois,37.8,-3.7
200204,Illinois,53.5,0.5
200205,Illinois,59.1,-5.3
200206,Illinois,73.9,0.9
200207,Illinois,78.2,2.1
200208,Illinois,75,1.3
200209,Illinois,69.3,1.2
200210,Illinois,52.1,-3.4
200211,Illinois,39.6,-1.7
200212,Illinois,32.2,-0.5
200301,Illinois,22.8,-3.6
200302,Illinois,26.4,-3.2
200303,Illinois,41.6,0.1
200304,Illinois,53.5,0.5
200305,Illinois,61.1,-3.3
200306,Illinois,67.9,-5.1
200307,Illinois,74.8,-1.3
200308,Illinois,75.3,1.6
200309,Illinois,64.1,-4
200310,Illinois,54.5,-1
200311,Illinois,44.8,3.5
200312,Illinois,33.8,1.1
200401,Illinois,24.7,-1.7
200402,Illinois,30,0.4
200403,Illinois,45.4,3.9
200404,Illinois,54.1,1.1
200405,Illinois,65.7,1.3
200406,Illinois,70,-3
200407,Illinois,72.8,-3.3
200408,Illinois,68.6,-5.1
200409,Illinois,67.7,-0.4
200410,Illinois,55.4,-0.1
200411,Illinois,45.6,4.3
200412,Illinois,31,-1.7
200501,Illinois,29.2,2.8
200502,Illinois,36.1,6.5
200503,Illinois,39,-2.5
200504,Illinois,55.4,2.4
200505,Illinois,60.9,-3.5
200506,Illinois,75,2
200507,Illinois,76.3,0.2
200508,Illinois,75.6,1.9
200509,Illinois,70.7,2.6
200510,Illinois,55.7,0.2
200511,Illinois,44.5,3.2
200512,Illinois,26,-6.7
200601,Illinois,38.1,11.7
200602,Illinois,30.9,1.3
200603,Illinois,41.8,0.3
200604,Illinois,57,4
200605,Illinois,62.3,-2.1
200606,Illinois,71.4,-1.6
200607,Illinois,77.1,1
200608,Illinois,74.7,1
200609,Illinois,63.7,-4.4
200610,Illinois,51.3,-4.2
200611,Illinois,44.4,3.1
200612,Illinois,35.3,2.6
200701,Illinois,30.3,3.9
200702,Illinois,21.7,-7.9
200703,Illinois,48,6.5
200704,Illinois,50.2,-2.8
200705,Illinois,67.6,3.2
200706,Illinois,72.7,-0.3
200707,Illinois,73.3,-2.8
200708,Illinois,78.2,4.5
200709,Illinois,69.8,1.7
200710,Illinois,59.9,4.4
200711,Illinois,42.2,0.9
200712,Illinois,30.2,-2.5
200801,Illinois,26.9,0.5
200802,Illinois,26,-3.6
200803,Illinois,39,-2.5
200804,Illinois,51.4,-1.6
200805,Illinois,59,-5.4
200806,Illinois,73.2,0.2
200807,Illinois,74.5,-1.6
200808,Illinois,71.8,-1.9
200809,Illinois,67.1,-1
200810,Illinois,54.2,-1.3
200811,Illinois,41.1,-0.2
200812,Illinois,26.8,-5.9
200901,Illinois,20.6,-5.8
200902,Illinois,32.5,2.9
200903,Illinois,43.6,2.1
200904,Illinois,51.4,-1.6
200905,Illinois,62.8,-1.6
200906,Illinois,72.7,-0.3
200907,Illinois,70.3,-5.8
200908,Illinois,70.9,-2.8
200909,Illinois,65.9,-2.2
200910,Illinois,50.1,-5.4
200911,Illinois,47.2,5.9
200912,Illinois,29.1,-3.6
201001,Illinois,21.5,-4.9
201002,Illinois,25.7,-3.9
201003,Illinois,43.8,2.3
201004,Illinois,58.7,5.7
201005,Illinois,64.3,-0.1
201006,Illinois,74.9,1.9
201007,Illinois,77.6,1.5
201008,Illinois,76.8,3.1
201009,Illinois,67.2,-0.9
201010,Illinois,56.5,1
201011,Illinois,43.7,2.4
201012,Illinois,24,-8.7
201101,Illinois,22.7,-3.7
201102,Illinois,30.2,0.6
201103,Illinois,41.6,0.1
201104,Illinois,53.1,0.1
201105,Illinois,62.1,-2.3
201106,Illinois,72.9,-0.1
201107,Illinois,79.9,3.8
201108,Illinois,74.8,1.1
201109,Illinois,63.6,-4.5
201110,Illinois,55.2,-0.3
201111,Illinois,45.8,4.5
201112,Illinois,35.9,3.2
201201,Illinois,31.9,5.5
201202,Illinois,35.8,6.2
201203,Illinois,55.5,14
201204,Illinois,54.6,1.6
201205,Illinois,68.1,3.7
201206,Illinois,72.6,-0.4
201207,Illinois,81.8,5.7
201208,Illinois,73.6,-0.1
201209,Illinois,64.9,-3.2
201210,Illinois,52.5,-3
201211,Illinois,41.2,-0.1
201212,Illinois,36.8,4.1
201301,Illinois,29.2,2.8
201302,Illinois,29.9,0.3
201303,Illinois,34.3,-7.2
201304,Illinois,50.2,-2.8
201305,Illinois,63.9,-0.5
201306,Illinois,71.5,-1.5
201307,Illinois,73.1,-3
201308,Illinois,72.8,-0.9
201309,Illinois,68.6,0.5
201310,Illinois,54.5,-1
201311,Illinois,38.8,-2.5
201312,Illinois,26.2,-6.5
201401,Illinois,19.3,-7.1
201402,Illinois,19.4,-10.2
201403,Illinois,34.4,-7.1
201404,Illinois,52.4,-0.6
201405,Illinois,63.7,-0.7
201406,Illinois,73,0
201407,Illinois,70.3,-5.8
201408,Illinois,73.8,0.1
201409,Illinois,64.7,-3.4
201410,Illinois,54.3,-1.2
201411,Illinois,34.6,-6.7
201412,Illinois,33.9,1.2
201501,Illinois,25.7,-0.7
201502,Illinois,19.4,-10.2
201503,Illinois,38.3,-3.2
201504,Illinois,54.3,1.3
201505,Illinois,64.9,0.5
201506,Illinois,71.7,-1.3
201507,Illinois,74.2,-1.9
201508,Illinois,71.9,-1.8
201509,Illinois,70.4,2.3
201510,Illinois,56,0.5
201511,Illinois,46.6,5.3
201512,Illinois,41.1,8.4
201601,Illinois,26.9,0.5
201602,Illinois,33.8,4.2
